[stream] event conversation_created {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{},"event_id":"b9300f22-f3ee-4fe3-b20e-5736ec092710","event_type":"conversation_created","sequence_number":7,"timestamp":"2026-04-06T21:59:55Z"}
use-conversation-stream.ts:83 [stream] event message_received {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"content":"hi friend. what can you help me do?"},"event_id":"5369a43f-943e-4724-a6c7-ec3bfca8986a","event_type":"message_received","sequence_number":8,"timestamp":"2026-04-06T22:00:04Z"}
use-conversation-stream.ts:83 [stream] event response_started {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"84cc7b90-9bdc-4c38-bf8f-0044bbe5169c","event_type":"response_started","sequence_number":9,"timestamp":"2026-04-06T22:00:04Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"Hi","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"7a739cc4-7b56-4624-b5de-467785deabf7","event_type":"response_chunk","sequence_number":10,"timestamp":"2026-04-06T22:00:07Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" there","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"0124bfda-201c-4c98-b37a-a6cf858f5955","event_type":"response_chunk","sequence_number":11,"timestamp":"2026-04-06T22:00:07Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"!","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"6b8f1a84-84e6-4402-8836-3a6bcb10d3b2","event_type":"response_chunk","sequence_number":12,"timestamp":"2026-04-06T22:00:07Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" I'm","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"cdea4311-773b-4046-9b8b-c2af6c264567","event_type":"response_chunk","sequence_number":13,"timestamp":"2026-04-06T22:00:07Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" happy","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"7e35e99c-3ce9-42fb-b963-abb14a46e00e","event_type":"response_chunk","sequence_number":14,"timestamp":"2026-04-06T22:00:07Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" to","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"cc43fda1-cc0c-4efa-bb34-9435e70d6b89","event_type":"response_chunk","sequence_number":15,"timestamp":"2026-04-06T22:00:07Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" help","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"ab35ca70-e7ff-4446-a9ea-e149f0ee5fc9","event_type":"response_chunk","sequence_number":16,"timestamp":"2026-04-06T22:00:07Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" you","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"ea4eef7d-edbb-4bd5-81ba-a1f18c3bd6f0","event_type":"response_chunk","sequence_number":17,"timestamp":"2026-04-06T22:00:07Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" with","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"db0e4f72-11a1-4c6f-8a7e-6f9e9c839660","event_type":"response_chunk","sequence_number":18,"timestamp":"2026-04-06T22:00:07Z"}
